min_cell,K,median_leaf_n,median_leaf_neff,cells_total,cells_scoreable,pct_scoreable
200,12,245.5,134.42659852845313,6084,5842,96.0223537146614
90,26,126.5,67.65443127920929,13182,6786,51.4792899408284
40,57,55.0,29.892040593738734,28899,1529,5.2908405135125784
18,114,25.0,15.630868730728773,57798,464,0.8027959444963494
